employee_id,tv_name,score
EMP100000,SEA,2.0
EMP100001,SEA,0.0
EMP100002,SEA,3.0
EMP100003,SEA,3.0
EMP100004,SEA,3.0
EMP100005,SEA,2.0
EMP100006,SEA,4.0
EMP100007,SEA,1.0
EMP100008,SEA,3.0
EMP100010,SEA,5.0
EMP100011,SEA,5.0
EMP100012,SEA,4.0
EMP100013,SEA,3.0
EMP100014,SEA,3.0
EMP100016,SEA,1.0
EMP100017,SEA,4.0
EMP100018,SEA,2.0
EMP100019,SEA,3.0
EMP100020,SEA,5.0
EMP100022,SEA,4.0
EMP100023,SEA,3.0
EMP100024,SEA,4.0
EMP100026,SEA,5.0
EMP100027,SEA,1.0
EMP100028,SEA,3.0
EMP100030,SEA,0.0
EMP100031,SEA,2.0
EMP100032,SEA,0.0
EMP100033,SEA,2.0
EMP100035,SEA,0.0
EMP100036,SEA,2.0
EMP100037,SEA,5.0
EMP100039,SEA,5.0
EMP100040,SEA,2.0
EMP100041,SEA,4.0
EMP100042,SEA,4.0
EMP100043,SEA,4.0
EMP100044,SEA,4.0
EMP100045,SEA,3.0
EMP100046,SEA,3.0
EMP100047,SEA,1.0
EMP100048,SEA,4.0
EMP100049,SEA,5.0
EMP100050,SEA,5.0
EMP100051,SEA,1.0
EMP100052,SEA,4.0
EMP100053,SEA,5.0
EMP100054,SEA,5.0
EMP100055,SEA,0.0
EMP100056,SEA,0.0
EMP100057,SEA,4.0
EMP100058,SEA,1.0
EMP100059,SEA,5.0
EMP100060,SEA,3.0
EMP100061,SEA,3.0
EMP100062,SEA,3.0
EMP100063,SEA,3.0
EMP100064,SEA,2.0
EMP100065,SEA,4.0
EMP100066,SEA,3.0
EMP100067,SEA,3.0
EMP100068,SEA,2.0
EMP100071,SEA,3.0
EMP100072,SEA,3.0
EMP100073,SEA,1.0
EMP100074,SEA,3.0
EMP100075,SEA,4.0
EMP100076,SEA,4.0
EMP100077,SEA,0.0
EMP100078,SEA,3.0
EMP100079,SEA,3.0
EMP100080,SEA,3.0
EMP100081,SEA,4.0
EMP100082,SEA,5.0
EMP100084,SEA,4.0
EMP100085,SEA,4.0
EMP100086,SEA,4.0
EMP100087,SEA,1.0
EMP100088,SEA,1.0
EMP100090,SEA,5.0
EMP100091,SEA,0.0
EMP100092,SEA,3.0
EMP100093,SEA,2.0
EMP100094,SEA,4.0
EMP100095,SEA,4.0
EMP100096,SEA,2.0
EMP100097,SEA,3.0
EMP100098,SEA,3.0
EMP100099,SEA,4.0
EMP100100,SEA,1.0
EMP100101,SEA,5.0
EMP100103,SEA,5.0
EMP100104,SEA,2.0
EMP100105,SEA,1.0
EMP100106,SEA,1.0
EMP100108,SEA,3.0
EMP100109,SEA,0.0
EMP100110,SEA,3.0
EMP100111,SEA,2.0
EMP100112,SEA,3.0
EMP100114,SEA,5.0
EMP100115,SEA,1.0
EMP100117,SEA,3.0
EMP100119,SEA,4.0
EMP100120,SEA,0.0
EMP100121,SEA,2.0
EMP100122,SEA,1.0
EMP100123,SEA,2.0
EMP100124,SEA,3.0
EMP100125,SEA,4.0
EMP100126,SEA,4.0
EMP100127,SEA,3.0
EMP100128,SEA,2.0
EMP100129,SEA,0.0
EMP100130,SEA,5.0
EMP100131,SEA,3.0
EMP100132,SEA,2.0
EMP100133,SEA,3.0
EMP100134,SEA,4.0
EMP100135,SEA,3.0
EMP100137,SEA,2.0
EMP100138,SEA,5.0
EMP100139,SEA,2.0
